产品名称,最新价格,单位,数据来源,备注
使它隆,,,Wind,
毒莠定,,,Wind,
烯草酮,,,Wind,
杀菌剂,,,Wind,
功夫菊酯,,,Wind,
阿维菌素,,,Wind,
吡虫啉,,,Wind,
吡蚜酮,,,Wind,
丁醚脲,,,Wind,
环嗪酮,,,Wind,
萎锈灵,,,Wind,
甲维盐,,,Wind,
代森锰锌,,,Wind,
嘧菌酯,,,Wind,
多杀霉素,,,Wind,
醚菊酯,,,Wind,
茚虫威,,,Wind,
除虫菊素,,,Wind,
棉隆,,,Wind,
AES,,,Wind,
K12,,,Wind,
磺酸,,,Wind,
硬脂酸,,,Wind,
甘油,,,Wind,
AEO-9,,,Wind,
聚乙二醇,,,Wind,
丙二醇,,,Wind,
二乙二醇,,,Wind,
异丙醇,,,Wind,
二甲基甲酰胺,,,Wind,
乙腈,,,Wind,
氯乙酸,,,Wind,
乙醇胺,,,Wind,
丙烯酰胺,,,Wind,
超纯双氧水,,,Wind,电子化学品
超纯氨水,,,Wind,电子化学品
超纯氢氟酸,,,Wind,电子化学品
超纯硫酸,,,Wind,电子化学品
超纯盐酸,,,Wind,电子化学品
NMP,,,Wind,电子化学品
电子级碳酸二甲酯,,,Wind,电子化学品
甲基丙烯酸甲酯,,,Wind,电子化学品
N-甲基吡咯烷酮,,,Wind,电子化学品
乙二醇甲醚,,,Wind,电子化学品
钴,,,Wind,金属
铌,,,Wind,金属
钽,,,Wind,金属
铑,,,Wind,金属(盎司)
铂,,,Wind,金属(盎司)
钯,,,Wind,金属(盎司)
铁矿石,,,Wind,黑色金属
氧化铝,,,Wind,有色金属
钨精矿,,,Wind,有色金属
碳酸锂(工业级),,,Wind,新能源材料
碳酸锂(电池级),,,Wind,新能源材料
磷酸铁,,,Wind,新能源材料
磷酸铁锂(动力型),,,Wind,新能源材料
工业磷酸一铵,,,Wind,磷化工
硅片,,,Wind,光伏材料
金刚线,,,Wind,光伏材料
电子级玻纤纱,,,Wind,玻纤材料
玻璃纤维,,,Wind,玻纤材料
高纯石英砂,,,Wind,光伏材料
阿斯巴甜,,,Wind,甜味剂
纽甜,,,Wind,甜味剂
三氯蔗糖,,,Wind,甜味剂
赤藓糖醇,,,Wind,甜味剂
异麦芽酮糖醇,,,Wind,甜味剂
聚合MDI,,,Wind,聚氨酯
PP(聚丙烯),,,Wind,通用塑料
PC(聚碳酸酯),,,Wind,工程塑料
ABS,,,Wind,工程塑料
LLDPE,,,Wind,通用塑料
反渗透膜,,,Wind,膜材料
超滤膜,,,Wind,膜材料
MBR膜,,,Wind,膜材料
中空纤维膜,,,Wind,膜材料
碳纤维,,,Wind,新材料
超纯异丙醇,,,Wind,电子化学品
